OA,UV1040001,UV1040002,UV1040003,UV1040004,UV1040005,UV1040006
S00135307,118,26.0,68.0,5.0,10.0,9.0
S00135308,52,4.0,35.0,1.0,6.0,6.0
S00135309,147,45.0,74.0,3.0,10.0,19.0
S00135310,132,53.0,63.0,3.0,4.0,8.0
S00135311,118,45.0,56.0,0.0,12.0,5.0
S00135312,132,47.0,69.0,4.0,9.0,3.0
S00135313,154,55.0,64.0,4.0,14.0,18.0
S00135314,138,44.0,65.0,5.0,20.0,6.0
S00135315,89,34.0,37.0,1.0,8.0,10.0
S00135316,111,32.0,54.0,4.0,11.0,10.0
S00135317,136,42.0,58.0,5.0,10.0,17.0
S00135318,69,21.0,34.0,2.0,8.0,4.0
S00135319,113,37.0,45.0,3.0,13.0,17.0
S00135320,101,31.0,50.0,1.0,8.0,7.0
S00135321,72,27.0,22.0,3.0,7.0,6.0
S00135322,121,40.0,54.0,7.0,14.0,1.0
S00135323,100,31.0,52.0,4.0,7.0,9.0
S00135324,53,19.0,20.0,3.0,8.0,3.0
S00135325,64,15.0,40.0,0.0,5.0,4.0
S00135326,71,18.0,29.0,2.0,11.0,12.0
S00135327,78,20.0,45.0,0.0,8.0,7.0
S00135328,106,21.0,63.0,3.0,4.0,15.0
S00135329,101,28.0,52.0,3.0,11.0,5.0
S00135330,95,32.0,39.0,2.0,11.0,11.0
S00135331,54,8.0,32.0,5.0,0.0,7.0
S00135332,76,16.0,37.0,5.0,8.0,9.0
S00135333,82,38.0,34.0,2.0,4.0,7.0
S00135334,58,13.0,37.0,2.0,3.0,3.0
S00135335,99,30.0,46.0,2.0,8.0,13.0
S00135336,63,26.0,24.0,0.0,6.0,7.0
S00135337,130,35.0,76.0,4.0,9.0,6.0
S00135338,124,41.0,40.0,3.0,19.0,21.0
S00135339,108,50.0,24.0,3.0,10.0,21.0
S00135340,105,30.0,54.0,2.0,10.0,12.0
S00135341,70,26.0,30.0,2.0,7.0,9.0
S00135342,80,20.0,45.0,0.0,6.0,12.0
S00135343,124,45.0,70.0,3.0,4.0,2.0
S00135344,105,39.0,46.0,8.0,11.0,4.0
S00135345,139,51.0,56.0,7.0,14.0,7.0
S00135346,118,17.0,81.0,3.0,5.0,12.0
S00135347,68,24.0,42.0,2.0,3.0,3.0
