OA,UV4030001,UV4030002,UV4030003,UV4030004,UV4030005,UV4030006,UV4030007,UV4030008,UV4030009,UV4030010,UV4030011
S00135307,144,114.0,68.0,46.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0
S00135308,65,42.0,16.0,26.0,0.0,0.0,2.0,19.0,19.0,0.0,0.0
S00135309,143,117.0,65.0,53.0,0.0,0.0,8.0,14.0,14.0,0.0,4.0
S00135310,145,129.0,57.0,72.0,0.0,0.0,6.0,14.0,14.0,0.0,0.0
S00135311,151,91.0,21.0,70.0,0.0,0.0,4.0,52.0,52.0,0.0,5.0
S00135312,187,109.0,30.0,79.0,0.0,0.0,58.0,20.0,20.0,0.0,0.0
S00135313,147,109.0,52.0,57.0,0.0,0.0,29.0,7.0,7.0,0.0,2.0
S00135314,173,136.0,51.0,85.0,0.0,0.0,4.0,34.0,34.0,0.0,0.0
S00135315,108,64.0,37.0,24.0,0.0,3.0,37.0,7.0,7.0,0.0,4.0
S00135316,129,98.0,51.0,47.0,0.0,0.0,1.0,27.0,21.0,6.0,3.0
S00135317,156,110.0,61.0,49.0,0.0,0.0,32.0,13.0,13.0,0.0,0.0
S00135318,85,65.0,20.0,45.0,0.0,0.0,20.0,1.0,1.0,0.0,0.0
S00135319,141,79.0,33.0,41.0,0.0,5.0,47.0,12.0,12.0,0.0,0.0
S00135320,127,87.0,38.0,43.0,0.0,2.0,34.0,9.0,9.0,0.0,0.0
S00135321,84,60.0,21.0,39.0,0.0,0.0,10.0,15.0,15.0,0.0,0.0
S00135322,151,85.0,32.0,53.0,0.0,0.0,48.0,20.0,20.0,0.0,1.0
S00135323,108,100.0,58.0,45.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0
S00135324,60,41.0,20.0,21.0,0.0,0.0,13.0,7.0,7.0,0.0,0.0
S00135325,77,64.0,25.0,35.0,0.0,0.0,4.0,13.0,13.0,0.0,0.0
S00135326,84,47.0,20.0,27.0,0.0,0.0,31.0,6.0,6.0,0.0,0.0
S00135327,95,79.0,35.0,42.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0
S00135328,117,94.0,44.0,44.0,0.0,3.0,17.0,8.0,8.0,0.0,1.0
S00135329,123,96.0,45.0,47.0,0.0,3.0,15.0,12.0,10.0,8.0,0.0
S00135330,105,71.0,45.0,26.0,0.0,0.0,20.0,13.0,13.0,0.0,0.0
S00135331,66,52.0,23.0,29.0,0.0,0.0,13.0,4.0,4.0,0.0,0.0
S00135332,93,64.0,35.0,22.0,2.0,0.0,27.0,2.0,2.0,0.0,0.0
S00135333,104,38.0,18.0,20.0,0.0,0.0,49.0,16.0,16.0,0.0,1.0
S00135334,74,56.0,37.0,18.0,0.0,2.0,11.0,7.0,7.0,0.0,0.0
S00135335,123,107.0,35.0,64.0,0.0,5.0,11.0,3.0,3.0,0.0,2.0
S00135336,78,63.0,13.0,47.0,0.0,0.0,8.0,10.0,10.0,0.0,0.0
S00135337,142,102.0,51.0,50.0,0.0,0.0,30.0,8.0,8.0,0.0,0.0
S00135338,145,84.0,44.0,40.0,0.0,0.0,32.0,28.0,28.0,0.0,1.0
S00135339,140,65.0,32.0,30.0,0.0,0.0,55.0,25.0,23.0,2.0,0.0
S00135340,117,92.0,45.0,47.0,0.0,0.0,15.0,7.0,6.0,1.0,2.0
S00135341,94,65.0,34.0,34.0,0.0,0.0,20.0,11.0,11.0,0.0,2.0
S00135342,90,74.0,45.0,29.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0
S00135343,172,144.0,14.0,128.0,0.0,1.0,19.0,6.0,2.0,1.0,3.0
S00135344,118,94.0,47.0,47.0,0.0,0.0,7.0,13.0,9.0,4.0,2.0
S00135345,165,123.0,39.0,84.0,0.0,0.0,9.0,28.0,30.0,2.0,3.0
S00135346,136,130.0,86.0,44.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0
S00135347,91,89.0,19.0,62.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
S00135348,130,125.0,77.0,47.0,0.0,1.0,0.0,4.0,4.0,0.0,1.0
S00135349,127,111.0,56.0,53.0,1.0,1.0,0.0,11.0,11.0,0.0,1.0
S00135350,131,119.0,7.0,110.0,0.0,4.0,9.0,4.0,4.0,0.0,0.0
S00135351,224,212.0,13.0,183.0,0.0,16.0,5.0,7.0,7.0,0.0,0.0
S00135352,161,150.0,88.0,62.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0
S00135353,206,198.0,15.0,171.0,0.0,9.0,4.0,7.0,7.0,0.0,0.0
S00135354,105,99.0,9.0,82.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0
S00135355,124,114.0,6.0,105.0,0.0,2.0,0.0,10.0,10.0,0.0,0.0
S00135356,126,79.0,18.0,37.0,20.0,5.0,35.0,10.0,10.0,0.0,1.0
S00135357,228,227.0,28.0,190.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
S00135358,137,85.0,9.0,66.0,0.0,9.0,4.0,42.0,42.0,0.0,4.0
S00135359,123,121.0,70.0,48.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0
S00135360,129,102.0,37.0,59.0,0.0,0.0,3.0,21.0,21.0,0.0,3.0
S00135361,117,111.0,66.0,44.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0
S00135362,132,120.0,71.0,53.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0
S00135363,174,154.0,2.0,133.0,0.0,21.0,11.0,6.0,6.0,0.0,0.0
