OA,UV6040001,UV6040002,UV6040003,UV6040004,UV6040005
S00135307,73.0,6.0,7.0,43.0,16.0
S00135308,40.0,0.0,7.0,25.0,7.0
S00135309,80.0,4.0,9.0,60.0,8.0
S00135310,101.0,6.0,24.0,56.0,15.0
S00135311,92.0,3.0,13.0,67.0,13.0
S00135312,88.0,7.0,18.0,53.0,12.0
S00135313,61.0,3.0,9.0,41.0,5.0
S00135314,109.0,7.0,22.0,69.0,11.0
S00135315,50.0,3.0,12.0,34.0,1.0
S00135316,61.0,5.0,13.0,37.0,6.0
S00135317,65.0,3.0,11.0,44.0,8.0
S00135318,44.0,0.0,8.0,34.0,4.0
S00135319,54.0,2.0,10.0,34.0,6.0
S00135320,52.0,7.0,12.0,31.0,5.0
S00135321,42.0,3.0,7.0,30.0,1.0
S00135322,76.0,4.0,16.0,51.0,5.0
S00135323,50.0,2.0,3.0,45.0,1.0
S00135324,33.0,1.0,9.0,20.0,2.0
S00135325,47.0,2.0,12.0,26.0,7.0
S00135326,28.0,0.0,7.0,22.0,2.0
S00135327,47.0,5.0,11.0,30.0,2.0
S00135328,52.0,5.0,9.0,37.0,6.0
S00135329,61.0,7.0,8.0,41.0,6.0
S00135330,48.0,3.0,7.0,31.0,4.0
S00135331,26.0,0.0,3.0,19.0,4.0
S00135332,41.0,0.0,8.0,27.0,5.0
S00135333,47.0,2.0,11.0,30.0,4.0
S00135334,38.0,4.0,6.0,24.0,2.0
S00135335,70.0,5.0,15.0,45.0,3.0
S00135336,38.0,2.0,4.0,26.0,10.0
S00135337,67.0,3.0,14.0,43.0,5.0
S00135338,67.0,6.0,15.0,47.0,2.0
S00135339,49.0,1.0,7.0,33.0,6.0
S00135340,62.0,8.0,11.0,44.0,2.0
S00135341,42.0,6.0,9.0,20.0,4.0
S00135342,48.0,8.0,8.0,30.0,4.0
S00135343,112.0,9.0,15.0,74.0,11.0
S00135344,59.0,8.0,8.0,37.0,5.0
S00135345,110.0,6.0,16.0,78.0,8.0
S00135346,50.0,1.0,9.0,35.0,5.0
S00135347,59.0,3.0,12.0,37.0,7.0
S00135348,58.0,5.0,12.0,32.0,5.0
S00135349,66.0,2.0,13.0,38.0,10.0
S00135350,81.0,3.0,9.0,66.0,3.0
S00135351,139.0,11.0,32.0,82.0,18.0
S00135352,78.0,7.0,13.0,53.0,8.0
S00135353,128.0,7.0,19.0,86.0,14.0
S00135354,70.0,2.0,10.0,52.0,7.0
S00135355,81.0,3.0,13.0,61.0,7.0
S00135356,89.0,0.0,10.0,66.0,15.0
S00135357,132.0,17.0,28.0,62.0,25.0
S00135358,104.0,4.0,17.0,68.0,12.0
S00135359,52.0,4.0,10.0,31.0,9.0
S00135360,90.0,5.0,8.0,66.0,11.0
S00135361,47.0,7.0,7.0,20.0,9.0
S00135362,57.0,5.0,12.0,36.0,6.0
S00135363,99.0,2.0,16.0,71.0,8.0
S00135364,60.0,9.0,15.0,35.0,4.0
S00135365,49.0,8.0,9.0,27.0,4.0
S00135366,56.0,4.0,7.0,31.0,14.0
S00135367,39.0,4.0,3.0,27.0,5.0
S00135368,79.0,7.0,16.0,51.0,3.0
S00135369,75.0,2.0,12.0,52.0,9.0
S00135370,41.0,0.0,11.0,24.0,4.0
S00135371,100.0,5.0,21.0,64.0,13.0
S00135372,87.0,5.0,15.0,63.0,5.0
S00135373,139.0,10.0,28.0,88.0,13.0
S00135374,94.0,6.0,14.0,57.0,15.0
S00135375,70.0,1.0,8.0,51.0,10.0
S00135376,31.0,4.0,4.0,19.0,3.0
S00135377,71.0,8.0,17.0,38.0,8.0
S00135378,73.0,11.0,13.0,44.0,5.0
S00135379,37.0,3.0,13.0,13.0,5.0
S00135380,74.0,5.0,17.0,49.0,3.0
S00135381,96.0,5.0,11.0,71.0,10.0
S00135382,51.0,3.0,8.0,38.0,7.0
S00135383,95.0,10.0,13.0,60.0,10.0
S00135384,45.0,5.0,10.0,25.0,8.0
S00135385,45.0,3.0,9.0,23.0,7.0
S00135386,27.0,2.0,6.0,15.0,5.0
S00135387,80.0,7.0,15.0,48.0,7.0
S00135388,98.0,7.0,15.0,64.0,12.0
S00135389,60.0,6.0,13.0,28.0,13.0
S00135390,58.0,5.0,7.0,42.0,5.0
S00135391,126.0,12.0,27.0,83.0,11.0
S00135392,48.0,3.0,10.0,29.0,5.0
S00135393,80.0,7.0,18.0,51.0,0.0
S00135394,86.0,2.0,15.0,58.0,6.0
S00135395,45.0,3.0,11.0,28.0,4.0
S00135396,67.0,3.0,11.0,46.0,6.0
S00135397,73.0,0.0,10.0,50.0,12.0
S00135398,80.0,2.0,15.0,53.0,10.0
S00135399,69.0,3.0,13.0,47.0,6.0
S00135400,103.0,4.0,13.0,63.0,20.0
S00135401,56.0,5.0,11.0,35.0,5.0
S00135402,55.0,1.0,4.0,41.0,5.0
S00135403,84.0,6.0,12.0,56.0,9.0
S00135404,54.0,8.0,9.0,35.0,5.0
S00135405,83.0,6.0,22.0,48.0,7.0
S00135406,100.0,17.0,17.0,57.0,9.0
S00135407,74.0,6.0,23.0,41.0,8.0
S00135408,73.0,6.0,15.0,48.0,5.0
S00135409,25.0,3.0,7.0,15.0,2.0
S00135410,74.0,3.0,11.0,50.0,10.0
S00135411,119.0,6.0,17.0,89.0,7.0
S00135412,44.0,2.0,12.0,27.0,5.0
S00135413,59.0,4.0,17.0,31.0,11.0
S00135414,47.0,4.0,15.0,25.0,1.0
S00135415,59.0,6.0,18.0,29.0,6.0
S00135416,100.0,3.0,21.0,60.0,16.0
S00135417,77.0,4.0,11.0,58.0,4.0
S00135418,97.0,10.0,15.0,57.0,11.0
S00135419,53.0,5.0,8.0,40.0,3.0
S00135420,70.0,4.0,18.0,45.0,7.0
S00135421,69.0,2.0,8.0,52.0,7.0
S00135422,66.0,6.0,12.0,45.0,3.0
S00135423,93.0,6.0,18.0,58.0,11.0
S00135424,55.0,5.0,10.0,34.0,6.0
S00135425,58.0,5.0,12.0,37.0,4.0
S00135426,79.0,9.0,17.0,42.0,11.0
S00135427,37.0,6.0,10.0,18.0,3.0
S00135428,34.0,5.0,6.0,21.0,2.0
S00135429,30.0,5.0,6.0,18.0,0.0
S00135430,59.0,6.0,21.0,29.0,3.0
S00135431,51.0,4.0,16.0,31.0,6.0
S00135432,43.0,4.0,15.0,24.0,4.0
S00135433,58.0,4.0,17.0,32.0,5.0
S00135434,38.0,6.0,15.0,14.0,5.0
S00135435,31.0,2.0,2.0,24.0,3.0
S00135436,51.0,8.0,9.0,36.0,7.0
S00135437,72.0,4.0,16.0,43.0,9.0
S00135438,43.0,3.0,11.0,26.0,5.0
S00135439,38.0,2.0,8.0,26.0,2.0
S00135440,51.0,4.0,14.0,29.0,4.0
S00135441,65.0,5.0,11.0,46.0,3.0
S00135442,5.0,0.0,0.0,6.0,0.0
S00135443,61.0,5.0,8.0,44.0,4.0
S00135444,62.0,0.0,8.0,52.0,2.0
S00135445,67.0,6.0,18.0,39.0,4.0
S00135446,51.0,5.0,13.0,33.0,7.0
S00135447,82.0,6.0,17.0,49.0,10.0
S00135448,97.0,5.0,16.0,61.0,15.0
S00135449,19.0,2.0,2.0,11.0,3.0
S00135450,25.0,0.0,8.0,15.0,3.0
S00135451,28.0,0.0,6.0,20.0,3.0
S00135452,31.0,4.0,3.0,21.0,3.0
S00135453,70.0,3.0,7.0,55.0,5.0
S00135454,80.0,5.0,8.0,54.0,10.0
S00135455,58.0,5.0,7.0,42.0,4.0
S00135456,48.0,0.0,11.0,37.0,3.0
S00135457,29.0,0.0,6.0,22.0,1.0
S00135458,53.0,2.0,10.0,40.0,0.0
S00135459,57.0,3.0,7.0,37.0,6.0
S00135460,49.0,1.0,11.0,33.0,4.0
S00135461,64.0,8.0,18.0,32.0,6.0
S00135462,76.0,2.0,19.0,47.0,9.0
S00135463,70.0,6.0,14.0,50.0,4.0
S00135464,62.0,5.0,7.0,39.0,11.0
S00135465,51.0,6.0,9.0,32.0,4.0
S00135466,62.0,3.0,11.0,41.0,7.0
S00135467,55.0,8.0,15.0,30.0,2.0
S00135468,62.0,4.0,5.0,46.0,8.0
S00135469,42.0,0.0,10.0,31.0,2.0
S00135470,77.0,6.0,15.0,45.0,10.0
S00135471,79.0,6.0,12.0,54.0,7.0
S00135472,69.0,8.0,19.0,40.0,6.0
S00135473,64.0,3.0,12.0,43.0,4.0
S00135474,69.0,3.0,17.0,45.0,11.0
S00135475,54.0,5.0,10.0,33.0,2.0
S00135476,49.0,5.0,9.0,34.0,2.0
S00135477,77.0,2.0,13.0,52.0,9.0
S00135478,19.0,0.0,4.0,14.0,3.0
S00135479,69.0,7.0,11.0,44.0,7.0
S00135480,70.0,2.0,10.0,52.0,10.0
S00135481,46.0,4.0,9.0,27.0,6.0
S00135482,28.0,5.0,2.0,16.0,3.0
S00135483,49.0,3.0,17.0,22.0,7.0
S00135484,33.0,3.0,8.0,20.0,6.0
S00135485,76.0,6.0,10.0,49.0,8.0
S00135486,58.0,5.0,9.0,36.0,5.0
S00135487,76.0,5.0,17.0,42.0,9.0
S00135488,57.0,5.0,11.0,35.0,4.0
S00135489,73.0,6.0,13.0,51.0,1.0
S00135490,63.0,4.0,10.0,41.0,9.0
S00135491,83.0,11.0,11.0,46.0,18.0
S00135492,64.0,8.0,17.0,33.0,6.0
S00135493,105.0,8.0,19.0,67.0,11.0
S00135494,46.0,5.0,8.0,31.0,1.0
S00135495,49.0,2.0,10.0,30.0,6.0
S00135496,49.0,4.0,17.0,26.0,2.0
S00135497,108.0,10.0,25.0,62.0,11.0
S00135498,93.0,1.0,10.0,56.0,25.0
S00135499,59.0,6.0,4.0,34.0,13.0
S00135500,74.0,4.0,10.0,51.0,9.0
S00135501,61.0,8.0,16.0,35.0,2.0
S00135502,92.0,6.0,7.0,55.0,23.0
S00135503,31.0,2.0,3.0,23.0,4.0
S00135504,49.0,5.0,14.0,27.0,4.0
S00135505,93.0,5.0,17.0,61.0,10.0
S00135506,65.0,6.0,9.0,42.0,8.0
S00135507,88.0,6.0,26.0,53.0,11.0
S00135508,32.0,6.0,2.0,23.0,5.0
S00135509,65.0,5.0,19.0,38.0,3.0
S00135510,64.0,3.0,14.0,42.0,7.0
